     1397.71 real     40249.77 user      3460.33 sys
     1406.41 real     40245.72 user      3541.25 sys
     1414.77 real     40309.19 user      3619.21 sys
     1393.13 real     40217.41 user      3680.45 sys
     1410.78 real     40299.83 user      3484.00 sys
     1408.08 real     40267.77 user      3489.65 sys
     1400.97 real     40265.90 user      3484.26 sys
     1413.53 real     40299.43 user      3466.01 sys
     1407.23 real     40269.33 user      3494.61 sys
     1394.87 real     40300.66 user      3516.13 sys
     1395.82 real     40198.92 user      3557.55 sys
